[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 Temp (K), Cp (J/gr), Conductivity (W/cm.K), Viscosity (gr/cm.s), check this !!!                     
[NUMBER_OF_SPECIES]
           4
[NUMBER_OF_VARIABLES]
           4

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) Temp             Cp               Lambda           Eta             
 152 0.32517776270422E-001 0.15545006168410E+004 0.14400539272340E+001 0.11667611380970E-002 0.55697276794267E-003
 153 0.32705109145061E-001 0.15615821667739E+004 0.14408656128273E+001 0.11715614075107E-002 0.55867742065893E-003
 154 0.32891526023527E-001 0.15685507734525E+004 0.14416540057797E+001 0.11762854333412E-002 0.56035326239863E-003
 155 0.33077125219326E-001 0.15754097160085E+004 0.14424201634762E+001 0.11809356289091E-002 0.56200121625539E-003
 156 0.33262008126740E-001 0.15821623003130E+004 0.14431651080354E+001 0.11855142965894E-002 0.56362216152375E-003
 157 0.33446276764273E-001 0.15888117582965E+004 0.14438898170175E+001 0.11900236663290E-002 0.56521694765340E-003
 158 0.33630029753436E-001 0.15953610984985E+004 0.14445952096557E+001 0.11944658443842E-002 0.56678637638350E-003
 159 0.33813360761290E-001 0.16018130539492E+004 0.14452821443897E+001 0.11988427892593E-002 0.56833119356154E-003
 160 0.33996360511726E-001 0.16081701580829E+004 0.14459514299796E+001 0.12031563788725E-002 0.56985211314620E-003
 161 0.34179123964632E-001 0.16144349917242E+004 0.14466038536141E+001 0.12074085134807E-002 0.57134985364976E-003
 162 0.34361757422428E-001 0.16206104080128E+004 0.14472402050106E+001 0.12116011738274E-002 0.57282515862281E-003
 163 0.34544377179808E-001 0.16266994571575E+004 0.14478612686852E+001 0.12157364118860E-002 0.57427879333189E-003
 164 0.34727102699377E-001 0.16327051358961E+004 0.14484677992170E+001 0.12198162918834E-002 0.57571152397873E-003
 165 0.34910053878783E-001 0.16386302878280E+004 0.14490605130597E+001 0.12238428217616E-002 0.57712409366977E-003
 166 0.35093352642067E-001 0.16444776487458E+004 0.14496400951479E+001 0.12278178968084E-002 0.57851720279497E-003
 167 0.35277121050290E-001 0.16502497791063E+004 0.14502071941238E+001 0.12317432160744E-002 0.57989148001159E-003
 168 0.35461471994835E-001 0.16559487749256E+004 0.14507623963208E+001 0.12356201909094E-002 0.58124745063632E-003
 169 0.35646501902681E-001 0.16615760678524E+004 0.14513062095377E+001 0.12394500380053E-002 0.58258556961829E-003
 170 0.35832308161215E-001 0.16671329815654E+004 0.14518391196355E+001 0.12432341750236E-002 0.58390635983153E-003
 171 0.36019035491016E-001 0.16726220796423E+004 0.14523617195507E+001 0.12469746046255E-002 0.58521054552971E-003
 172 0.36206900021708E-001 0.16780477315052E+004 0.14528747594934E+001 0.12506738491509E-002 0.58649902865012E-003
 173 0.36396141898097E-001 0.16834145916592E+004 0.14533790005768E+001 0.12543344754577E-002 0.58777272270169E-003
 174 0.36586957418782E-001 0.16887256599811E+004 0.14538750355809E+001 0.12579585681250E-002 0.58903236955636E-003
 175 0.36779493620443E-001 0.16939822463067E+004 0.14543632920915E+001 0.12615474983580E-002 0.59027845992610E-003
 176 0.36973890012728E-001 0.16991852060129E+004 0.14548441518362E+001 0.12651021457795E-002 0.59151131146415E-003
 177 0.37170303986075E-001 0.17043356202370E+004 0.14553180149729E+001 0.12686232870519E-002 0.59273120425117E-003
 178 0.37368909373352E-001 0.17094347118924E+004 0.14557852927926E+001 0.12721117975968E-002 0.59393845073826E-003
 179 0.37569894873161E-001 0.17144837626869E+004 0.14562464008834E+001 0.12755686945997E-002 0.59513341033198E-003
 180 0.37773474096080E-001 0.17194843175755E+004 0.14567017787327E+001 0.12789951637552E-002 0.59631649824912E-003
 181 0.37979894963438E-001 0.17244383399457E+004 0.14571519047674E+001 0.12823925348945E-002 0.59748817670195E-003
 182 0.38189431984571E-001 0.17293479379813E+004 0.14575972727284E+001 0.12857621354382E-002 0.59864890407173E-003
 183 0.38402363993382E-001 0.17342147887947E+004 0.14580383412530E+001 0.12891050842883E-002 0.59979906390755E-003
 184 0.38618959734458E-001 0.17390398129945E+004 0.14584755064177E+001 0.12924221591634E-002 0.60093891960855E-003
 185 0.38839484727610E-001 0.17438233575837E+004 0.14589091199873E+001 0.12957138297217E-002 0.60206862631542E-003
 186 0.39064220277862E-001 0.17485656108758E+004 0.14593395282801E+001 0.12989804685166E-002 0.60318830367848E-003
 187 0.39293486310568E-001 0.17532670301749E+004 0.14597671122610E+001 0.13022226595730E-002 0.60429814148193E-003
 188 0.39527670793557E-001 0.17579288188071E+004 0.14601923328603E+001 0.13054414088937E-002 0.60539847092470E-003
 189 0.39767249003895E-001 0.17625531049954E+004 0.14606157505178E+001 0.13086380208830E-002 0.60648972135773E-003
 190 0.40012752073124E-001 0.17671421185417E+004 0.14610379539501E+001 0.13118136784881E-002 0.60757227640530E-003
 191 0.40264698166335E-001 0.17716968209507E+004 0.14614594368834E+001 0.13149692442142E-002 0.60864640624135E-003
 192 0.40523602232494E-001 0.17762171436649E+004 0.14618806200988E+001 0.13181057136102E-002 0.60971242183381E-003
 193 0.40790130944631E-001 0.17807045988220E+004 0.14623020968054E+001 0.13212249004965E-002 0.61077090648139E-003
 194 0.41065235739946E-001 0.17851639693682E+004 0.14627248032567E+001 0.13243296549492E-002 0.61182278731518E-003
 195 0.41350081397848E-001 0.17896013805798E+004 0.14631498547247E+001 0.13274235138871E-002 0.61286921414224E-003
 196 0.41645908110895E-001 0.17940216747078E+004 0.14635783069554E+001 0.13305099761112E-002 0.61391131207938E-003
 197 0.41954029340485E-001 0.17984282271542E+004 0.14640111419429E+001 0.13335919640988E-002 0.61494999932299E-003
 198 0.42275916853177E-001 0.18028239626042E+004 0.14644493708035E+001 0.13366719455058E-002 0.61598602896711E-003
 199 0.42613270106472E-001 0.18072118813304E+004 0.14648940941262E+001 0.13397522932988E-002 0.61702011088222E-003
 200 0.42968064231815E-001 0.18115951057352E+004 0.14653465174405E+001 0.13428355597888E-002 0.61805300370335E-003
 201 0.43342628964489E-001 0.18159771553546E+004 0.14658079914129E+001 0.13459248441235E-002 0.61908563727621E-003
 202 0.43739814819986E-001 0.18203629347974E+004 0.14662801326481E+001 0.13490243062451E-002 0.62011928301532E-003
 203 0.44163230011830E-001 0.18247599023484E+004 0.14667649790421E+001 0.13521397238103E-002 0.62115573749420E-003
 204 0.44617498540994E-001 0.18291786837944E+004 0.14672651022071E+001 0.13552787509237E-002 0.62219740676089E-003
 205 0.45108493922487E-001 0.18336327280284E+004 0.14677836189800E+001 0.13584509594630E-002 0.62324732139761E-003
 206 0.45643635642851E-001 0.18381379647831E+004 0.14683241893963E+001 0.13616688873684E-002 0.62430949016495E-003
 207 0.46232758331302E-001 0.18427161905394E+004 0.14688914514769E+001 0.13649507778134E-002 0.62538981730455E-003
 208 0.46890015549250E-001 0.18474031094044E+004 0.14694920943171E+001 0.13683240073915E-002 0.62649726003847E-003
 209 0.47636466973057E-001 0.18522550028640E+004 0.14701358631090E+001 0.13718278435162E-002 0.62764481123968E-003
 210 0.48502911491047E-001 0.18573500879627E+004 0.14708357872442E+001 0.13755148402022E-002 0.62885015826379E-003
 211 0.49533599406953E-001 0.18627893313318E+004 0.14716078172749E+001 0.13794506615489E-002 0.63013610934941E-003
